any_whois_info,num_nameservers,days_from_create_to_expire,days_from_create_to_now,number_of_repeated_chars,max_repeated_chars,entropy_of_domain,subdomains_number,hyphen_number,path_number,digit_ratio,contains_extension,contains_suspicious_extension,ssl_error,iframe,no_hyperlink,internal_ratio,external_ratio,number_of_redirects,has_password,url
True,4,11687,11348,0,0,3.3787834934861767,1,0,2,0.0,False,False,True,False,0,0.5,0.4166666666666667,3,False,http://members.tripod.com/russiastation/
True,2,9497,9368,0,0,2.75,0,1,1,0.0,False,False,False,False,0,0.9444444444444444,0.05555555555555555,1,False,http://www.naef-usa.com/
True,8,10957,10885,0,0,2.807354922057604,1,0,3,0.0,False,False,True,False,0,0.0,0.9545454545454546,2,False,http://us.imdb.com/title/tt0176269/
True,2,1096,926,0,0,3.0220552088742005,1,0,1,0.0,True,False,False,False,1,0.0,0.0,0,False,http://efilmcritic.com/hbs.cgi?movie=311
True,2,12053,11089,0,0,3.121928094887362,1,0,1,0.0,False,False,False,False,0,0.8947368421052632,0.08421052631578947,1,False,http://christian.net/
True,2,9862,9460,0,0,3.169925001442312,0,0,0,0.0,False,False,False,False,1,0.0,0.0,0,False,http://www.indsource.com
True,4,10591,10181,0,0,2.789898095464287,0,0,0,0.0,False,False,False,False,0,0.9347826086956522,0.043478260869565216,0,False,http://www.greatestescapes.com
True,4,11687,11348,0,0,3.378783493486176,1,0,1,0.0,False,False,False,True,0,0.8181818181818182,0.18181818181818182,1,False,http://hdalter.tripod.com/
True,2,10591,10242,0,0,2.9219280948873623,0,0,1,0.0,False,False,False,False,1,0.0,0.0,0,False,http://www.kinderview.com/
True,3,13878,11802,0,0,2.4056390622295662,0,0,3,0.0,False,False,False,False,0,0.6363636363636364,0.36363636363636365,1,False,http://www.elsevier.com/locate/issn/0969-9961
True,3,10144,9719,1,1,3.572469458770136,2,0,1,0.0,False,False,False,False,1,0.0,0.0,0,False,http://michel.swing.free.fr/
True,2,9862,9784,1,1,1.9219280948873623,0,0,1,0.0,False,False,False,False,1,0.0,0.0,0,False,http://www.izoom.com/
True,2,2191,1929,0,0,3.2516291673878226,1,0,1,0.0,False,False,False,True,0,0.0,0.9696969696969697,2,False,http://knucklehead.us/
True,2,9497,9384,0,0,3.40582225028569,0,0,1,0.0,False,False,False,False,0,0.6666666666666666,0.3333333333333333,0,False,http://www.sustainabledrainage.co.uk/
True,2,2191,1981,0,0,3.238901256602631,0,0,1,0.0,False,False,False,False,1,0.0,0.0,0,False,http://www.enduringlight.org/
True,5,11324,11237,1,1,3.188721875540867,1,0,3,0.0,False,False,False,False,0,0.047244094488188976,0.952755905511811,1,False,http://groups.yahoo.com/group/aoshack/
True,2,14609,11064,0,0,2.5,0,0,1,0.0,True,False,False,False,0,0.0,1.0,0,False,http://www.elecplay.com/reviews_article.php?article=8494
True,6,11689,11579,0,0,1.584962500721156,0,0,3,0.0,True,False,False,False,0,0.14705882352941177,0.8529411764705882,1,False,http://www.cmt.com/art/search/art.main.jhtml?ai_id=508005
